Model,Model,Process,Lead time
100G SR4,100G QSFP28 SR4 Gen2,LENS,3
100G SR4,100G QSFP28 SR4 Gen2,OE,13
100G SR4,100G QSFP28 SR4 Gen2,Model,6
100G SR4,100G QSFP28 SR4 Gen3,LENS,3
100G SR4,100G QSFP28 SR4 Gen3,OE,13
100G SR4,100G QSFP28 SR4 Gen3,Model,6
100G SR4,40G QSFP+ SR4/eSR4 (100G平台),LENS,3
100G SR4,40G QSFP+ SR4/eSR4 (100G平台),OE,13
100G SR4,40G QSFP+ SR4/eSR4 (100G平台),Model,6
QSFP28 AOC,100G AOC Breakout,LENS,3
QSFP28 AOC,100G AOC Breakout,OE,13
QSFP28 AOC,100G AOC Breakout,Model,4
QSFP28 AOC,100G QSFP28 AOC Gen2,LENS,3
QSFP28 AOC,100G QSFP28 AOC Gen2,OE,13
QSFP28 AOC,100G QSFP28 AOC Gen2,Model,4
QSFP28 AOC,100G QSFP28 AOC Gen3,LENS,3
QSFP28 AOC,100G QSFP28 AOC Gen3,OE,13
QSFP28 AOC,100G QSFP28 AOC Gen3,Model,4
QSFP28 AOC,100G QSFP28 to 2x50G QSFP28 AOC Gen3.0,LENS,3
QSFP28 AOC,100G QSFP28 to 2x50G QSFP28 AOC Gen3.0,OE,13
QSFP28 AOC,100G QSFP28 to 2x50G QSFP28 AOC Gen3.0,Model,4
